金荷娜	女	韩国	1978-02-21	双鱼座	167cm
张颂文	男	中国	1976-5-10	金牛座	175cm
张译	男	中国	1978-02-17	水瓶座	178cm
张翰	男	中国	1984-10-6	天秤座	183cm
黄晓明	男	中国	1977-11-13	天蝎座	180cm
张柏芝	女	中国香港	1980-5-24	双子座	166cm
李敏镐	男	韩国	1987-06-22	巨蟹座	187cm
李晨	男	中国	1978-11-24	射手座	180cm
刘德华	男	中国香港	1961-9-27	天秤座	174cm
秋瓷炫	女	韩国	1979-1-20	水瓶座	170cm
朴施厚	男	韩国	1978-04-03	未知	182cm
邓超	男	中国	1979-2-8	水瓶座	180cm
李佳航	男	中国	1987-03-08	双鱼座	180cm
金秀贤	男	韩国	1988-02-16	水瓶座	180cm
谢霆锋	男	中国香港	1980-8-29	处女座	175cm
张杰	男	中国	1982-12-20	射手座	179cm
李晟	女	中国	1985-09-10	处女座	162cm
周迅	女	中国	1974-10-18	天秤座	161cm
陈奕迅	男	中国香港	1974-7-27	狮子座	171cm
叶璇	女	中国	1980-2-14	水瓶座	167cm
李宇春	女	中国	1984-03-10	双鱼座	175cm
宁静	女	中国	1972-04-27	金牛座	166cm
白雪	女	中国	1975-01-19	摩羯座	163cm
杨颖	女	中国	1989-2-28	双鱼座	168cm
陆毅	男	中国	1976-1-6	摩羯座	182cm
王丽坤	女	中国	1985-3-22	白羊座	167cm
孙俪	女	中国	1982-9-26	天秤座	165cm
赵寅成	男	韩国	1981-07-28	狮子座	186cm
武艺	男	中国香港	1990-11-3	天蝎座	175cm
林依晨	女	中国	1982-10-29	天蝎座	162cm
韩雪	女	中国	1983-01-11	摩羯座	170cm
黄圣依	女	中国	1983-02-11	水瓶座	165cm
赵薇	女	中国	1976-3-12	双鱼座	166cm
钟汉良	男	中国香港	1974-11-30	射手座	183cm
徐熙媛	女	中国台湾	1976-10-6	天秤座	163cm
唐嫣	女	中国	1986-12-06	射手座	170cm
全智贤	女	韩国	1981-10-30	天蝎座	173cm
汤唯	女	中国	1979-10-7	天秤座	172cm
郭德纲	男	中国	1973-1-18	摩羯座	168cm
杨幂	女	中国	1986-9-12	处女座	168cm
陈小春	男	中国	1967-07-08	巨蟹座	178cm
邱泽	男	中国台湾	1981-10-14	天秤座	176cm
李玟	女	中国香港	1975-1-17	摩羯座	162cm
宋承宪	男	韩国	1976-10-5	天秤座	179cm
周杰伦	男	中国台湾	1979-1-18	摩羯座	175cm
罗志祥	男	中国台湾	1979-7-30	狮子座	180cm
何润东	男	美国	1975-9-13	处女座	184cm
聂远	男	中国	1978-3-17	双鱼座	179cm
刘若英	女	中国台湾	1970-6-1	双子座	160cm
苏有朋	男	中国台湾	1973-9-11	处女座	173cm
张国荣	男	中国香港	1956-9-12	处女座	175cm
潘艺翔	男	中国	1991-10-02	未知	175cm
严屹宽	男	中国	1979-1-24	水瓶座	180cm
萧敬腾	男	中国台湾	1987-3-30	白羊座	171cm
颖儿	女	中国	1988-12-12	射手座	169cm
周星驰	男	中国	1962-6-22	巨蟹座	174cm
李小龙	男	中国	1940-11-27	射手座	173cm
陈伟霆	男	中国香港	1985-11-21	天蝎座	182cm
姜文	男	中国	1963-1-5	摩羯座	180cm
宋祖英	女	中国	1966-08-13	狮子座	168cm
小沈阳	男	中国	1981-5-7	金牛座	177cm
张韶涵	女	中国台湾	1982-1-19	摩羯座	158cm
苍井空	女	日本	1983-11-11	天蝎座	155cm
蔡依林	女	中国台湾	1980-9-15	处女座	158cm
容祖儿	女	中国香港	1980-6-16	双子座	169cm
高露	女	中国	1982-10-8	天秤座	167cm
安妮-海瑟薇	女	美国	1982-11-12	天蝎座	173cm
高圆圆	女	中国	1979-10-5	天秤座	165cm
方文山	男	中国	1969-01-26	水瓶座	未知
成龙	男	中国香港	1954-4-7	白羊座	174cm
朴信惠	女	韩国	1990-02-18	水瓶座	165cm
佟丽娅	女	中国	1984-8-8	狮子座	167cm
范冰冰	女	中国	1981-09-16	处女座	168cm
杨坤	男	中国	1972-12-18	射手座	180cm
刘亦菲	女	中国	1987-8-25	处女座	168cm
瞿颖	女	中国	1971-07-02	巨蟹座	175cm
王力宏	男	中国	1976-5-17	金牛座	180cm
王珞丹	女	中国	1984-01-30	水瓶座	170cm
冯绍峰	男	中国	1978-10-7	天秤座	180cm
李易峰	男	中国	1987-5-4	金牛座	182cm
李钟硕	男	韩国	1989-09-14	处女座	186cm
许晴	女	中国	1969-1-22	水瓶座	168cm
胡杏儿	女	中国香港	1979-11-6	天蝎座	172cm
蔡健雅	女	中国	1975-01-28	水瓶座	160cm
李小冉	女	中国	1976-5-8	金牛座	168cm
章子怡	女	中国	1979-2-9	水瓶座	164cm
陈坤	男	中国	1976-02-04	水瓶座	176cm
王心凌	女	中国台湾	1982-9-5	处女座	158cm
佘诗曼	女	中国香港	1975-5-28	双子座	165cm
Adele	女	英国	1988-05-05	未知	未知
葛优	男	中国	1957-04-19	白羊座	178cm
潘玮柏	男	中国	1980-08-06	狮子座	174cm
林峰	男	中国	1979-12-8	射手座	180cm
黄志忠	男	中国	1969-03-05	双鱼座	181cm
安吉丽娜-朱莉	女	美国	1975-6-4	双子座	173cm
梁家辉	男	中国香港	1958-2-1	水瓶座	177cm
杨童舒	女	中国	1975-05-07	金牛座	170cm
Selina	女	中国	1981-10-31	天蝎座	163cm
王祖贤	女	中国台湾	1967-1-31	水瓶座	173cm
杜淳	男	中国	1981-5-22	双子座	178cm
刘诗诗	女	中国	1987-3-10	双鱼座	165cm
印小天	男	中国	1978-09-23	未知	180cm
五月天	男	中国	未知	未知	未知
具惠善	女	韩国	1984-11-09	天蝎座	163cm
关之琳	女	中国香港	1962-9-24	天秤座	170cm
甄子丹	男	中国	1963-7-27	狮子座	175cm
陈键锋	男	中国香港	1978-5-4	金牛座	182cm
刘涛	女	中国	1978-7-12	巨蟹座	168cm
张娜拉	女	韩国	1981-3-18	双鱼座	163cm
陈浩民	男	中国香港	1969-10-7	天秤座	176cm
林心如	女	中国	1976-01-27	水瓶座	167cm
刘嘉玲	女	中国	1965-12-08	射手座	167cm
郑爽	女	中国	1991-8-22	狮子座	166cm
赵本山	男	中国	1957-10-2	天秤座	175cm
